"","spp","site","date","year","season","wind_speed","temp","time","abundance","distance","det_hist"
"1","PIJA","EASTCAMINO","4/14/14",2014,"spring",5.2,38.1,1733,14,50,"0000100000"
"2","PIJA","EASTCAMINO","9/18/12",2012,"fall",1.1,35.1,623,12,300,"0100000000"
"3","LASP","EASTCAMINO","7/16/13",2013,"summer",0.8,54.3,1743,41,112.5,"0000110011"
"5","PIJA","EASTCAMINO","9/17/12",2012,"fall",2.3,63.1,651,4,300,"0100000000"
"7","LASP","EASTCAMINO","7/17/13",2013,"summer",5.5,50,644,4,50,"0000010000"
"9","LOSH","HOUSEPASTURE","4/17/13",2013,"spring",4.2,58.2,700,4,150,"1000000000"
"10","PIJA","HOUSEPASTURE","4/14/14",2014,"spring",6.1,33.6,1749,23,250,"1000000000"
"11","LASP","HOUSEPASTURE","9/15/12",2012,"fall",1.6,72.9,1850,4,50,"0000100000"
"12","PRFA","MIDDLECAMINO","5/20/12",2012,"spring",1.6,56.5,743,4,50,"1000000000"
"13","LASP","MIDDLECAMINO","5/21/12",2012,"spring",1.5,72.4,1910,4,50,"0010000000"
"14","LASP","WESTCAMINO","9/17/12",2012,"fall",3.1,57.3,741,4,50,"0000000010"
"15","LASP","WESTCAMINO","7/30/12",2012,"summer",6.4,70.6,803,4,50,"0000010000"
"16","LASP","WESTCAMINO","5/21/12",2012,"spring",2.2,62.25,1268,16,50,"0010010000"
"17","SWHA","WESTCAMINO","4/17/13",2013,"spring",4.2,53.1,700,4,300,"0000100000"
"19","SWHA","WRNORTH","4/16/13",2013,"spring",3.8,43.3,700,4,200,"0000000010"
"20","LASP","WRNORTH","5/21/12",2012,"spring",0.8,59.6,630,4,50,"0000000010"
"21","LASP","WRSOUTH","5/21/12",2012,"spring",1,62.3,652,25,83.3333333333333,"0100001000"
"24","LASP","WRSOUTH","6/23/14",2014,"spring",3.5,86.8,1736,12,50,"0000000001"
